CustomerName,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,Churn,Tenure_Years,Churn_Flag,Risk
Customer_71,Female,64,64.93,4154.33,One year,No,5.33,0,Low Risk
Customer_72,Female,22,62.23,1402.67,One year,Yes,1.83,1,Medium Risk
Customer_73,Female,34,45.26,1466.92,One year,Yes,2.83,1,Low Risk
Customer_74,Female,55,57.23,3106.11,One year,No,4.58,0,Low Risk
Customer_75,Female,29,30.82,931.24,month to month,No,2.42,0,Low Risk
Customer_76,Male,38,45.16,1715.97,Two year,Yes,3.17,1,Low Risk
Customer_77,Female,18,47.2,836.77,One year,No,1.5,0,Medium Risk
Customer_78,Female,71,92.07,6480.92,Two year,Yes,5.92,1,Low Risk
Customer_79,Female,65,24.86,1603.42,Month-to-month,No,5.42,0,Low Risk
Customer_80,Female,1,85.12,119.17,Two year,No,0.08,0,High Risk
Customer_81,Female,4,42.14,140.39,One year,No,0.33,0,Medium Risk
Customer_82,Female,4,28.19,180.96,Month-to-month,Yes,0.33,1,Medium Risk
Customer_83,Female,27,50.08,1406.0,Month-to-month,Yes,2.25,1,Low Risk
Customer_84,Female,43,42.45,1807.85,Month-to-month,Yes,3.58,1,Low Risk
Customer_85,Female,59,75.2,4407.08,One year,No,4.92,0,Low Risk
Customer_86,Female,32,55.74,1645.46,Two year,Yes,2.67,1,Low Risk
Customer_87,Male,33,116.6,3793.96,month to month,No,2.75,0,Low Risk
Customer_88,Female,28,116.35,3200.88,Two year,No,2.33,0,Low Risk
Customer_89,Male,55,64.37,3468.8,One year,Yes,4.58,1,Low Risk
Customer_90,Male,60,99.51,5968.8,One year,No,5.0,0,Low Risk
Customer_91,Female,70,21.33,1508.7,Month-to-month,Yes,5.83,1,Low Risk
Customer_92,Male,62,74.78,4727.09,Two year,No,5.17,0,Low Risk
Customer_93,Female,34,94.33,3210.54,One year,Yes,2.83,1,Low Risk
Customer_94,Male,56,41.69,2232.96,One year,No,4.67,0,Low Risk
Customer_95,Female,13,26.12,302.17,month to month,Yes,1.08,1,Medium Risk
Customer_96,Female,56,35.59,2023.57,Two year,Yes,4.67,1,Low Risk
Customer_97,Female,18,64.18,1151.17,Month-to-month,Yes,1.5,1,Medium Risk
Customer_98,Male,54,70.64,3857.4,Month-to-month,No,4.5,0,Low Risk
Customer_99,Male,43,58.09,2472.18,Month-to-month,No,3.58,0,Low Risk
Customer_100,Male,39,64.0,2553.6,Two year,Yes,3.25,1,Low Risk
Customer_101,Male,61,67.02,4100.52,One year,Yes,5.08,1,Low Risk
Customer_102,Male,42,96.94,4085.05,One year,Yes,3.5,1,Low Risk
Customer_103,Male,18,30.52,556.86,month to month,Yes,1.5,1,Medium Risk
Customer_104,Male,23,96.9,2190.44,month to month,No,1.92,0,Medium Risk
Customer_105,Male,54,88.86,4795.58,One year,No,4.5,0,Low Risk
Customer_106,Female,30,94.17,2839.79,One year,No,2.5,0,Low Risk
Customer_107,Male,58,93.45,2104.02,Two year,No,4.83,0,Low Risk
Customer_108,Male,68,67.06,4564.06,month to month,No,5.67,0,Low Risk
Customer_109,Male,67,41.14,2817.12,Month-to-month,Yes,5.58,1,Low Risk
Customer_110,Male,71,73.66,5251.55,Month-to-month,Yes,5.92,1,Low Risk
Customer_111,Male,18,115.8,2152.76,Month-to-month,No,1.5,0,Medium Risk
Customer_112,Male,7,78.85,572.34,Month-to-month,No,0.58,0,High Risk
Customer_113,Male,40,21.1,799.12,One year,Yes,3.33,1,Low Risk
Customer_114,Male,70,25.97,1857.44,One year,No,5.83,0,Low Risk
Customer_115,Female,65,119.29,7696.8,Two year,Yes,5.42,1,Low Risk
Customer_116,Female,68,27.19,1838.5,Month-to-month,No,5.67,0,Low Risk
Customer_117,Male,49,24.6,2104.02,One year,No,4.08,0,Low Risk
Customer_118,Female,52,55.3,2841.69,One year,No,4.33,0,Low Risk
Customer_119,Male,29,116.93,3509.92,One year,Yes,2.42,1,Low Risk
Customer_120,Female,21,51.87,1085.64,Month-to-month,No,1.75,0,Medium Risk
Customer_121,Female,9,60.99,639.41,One year,Yes,0.75,1,Medium Risk
Customer_122,Male,47,83.41,3937.45,month to month,Yes,3.92,1,Low Risk
Customer_123,Female,42,22.41,900.17,Month-to-month,No,3.5,0,Low Risk
Customer_124,Male,51,109.78,5578.3,Month-to-month,Yes,4.25,1,Low Risk
Customer_125,Male,56,71.94,4026.72,month to month,Yes,4.67,1,Low Risk
Customer_126,Female,51,66.68,3383.59,Two year,No,4.25,0,Low Risk
Customer_127,Female,70,106.07,7411.2,Two year,Yes,5.83,1,Low Risk
Customer_128,Male,20,115.31,2334.89,Month-to-month,No,1.67,0,Medium Risk
Customer_129,Male,27,62.34,1701.45,Month-to-month,No,2.25,0,Low Risk
Customer_130,Male,38,37.24,1449.62,Month-to-month,No,3.17,0,Low Risk
Customer_131,Male,65,101.57,2104.02,month to month,Yes,5.42,1,Low Risk
Customer_132,Male,54,60.33,3234.25,One year,No,4.5,0,Low Risk
Customer_133,Female,24,113.55,2780.89,month to month,No,2.0,0,Low Risk
Customer_134,Male,47,114.99,5474.21,One year,No,3.92,0,Low Risk
Customer_135,Male,71,31.48,2299.78,One year,Yes,5.92,1,Low Risk
Customer_136,Male,63,115.66,7198.58,Two year,Yes,5.25,1,Low Risk
Customer_137,Female,57,56.83,3329.19,month to month,Yes,4.75,1,Low Risk
Customer_138,Female,55,84.63,4622.83,month to month,Yes,4.58,1,Low Risk
Customer_139,Male,60,23.48,1316.77,Month-to-month,Yes,5.0,1,Low Risk
Customer_140,Male,62,108.89,6839.84,month to month,No,5.17,0,Low Risk
Customer_141,Female,30,84.16,2550.47,One year,Yes,2.5,1,Low Risk
Customer_142,Female,22,84.36,1883.66,One year,Yes,1.83,1,Medium Risk
Customer_143,Female,29,110.22,3179.78,month to month,No,2.42,0,Low Risk
Customer_144,Male,41,70.83,2913.13,Two year,No,3.42,0,Low Risk
Customer_145,Male,42,61.05,2557.13,Two year,Yes,3.5,1,Low Risk
Customer_146,Male,65,106.61,2104.02,Month-to-month,Yes,5.42,1,Low Risk
Customer_147,Female,31,94.24,2922.59,Month-to-month,Yes,2.58,1,Low Risk
Customer_148,Male,30,114.9,3452.66,One year,No,2.5,0,Low Risk
Customer_149,Female,18,114.01,1986.1,month to month,Yes,1.5,1,Medium Risk
Customer_150,Female,17,58.23,992.69,One year,Yes,1.42,1,Medium Risk
Customer_151,Male,38,64.7,2369.22,One year,No,3.17,0,Low Risk
Customer_152,Male,14,45.6,734.42,month to month,Yes,1.17,1,Medium Risk
Customer_153,Male,56,86.06,4814.23,One year,No,4.67,0,Low Risk
Customer_154,Male,22,56.45,1188.33,One year,No,1.83,0,Medium Risk
Customer_155,Female,67,98.61,6632.53,Two year,No,5.58,0,Low Risk
Customer_156,Male,56,32.16,1763.63,Month-to-month,Yes,4.67,1,Low Risk
Customer_157,Male,19,31.64,599.7,Two year,No,1.58,0,Medium Risk
Customer_158,Male,57,40.45,2328.43,Month-to-month,Yes,4.75,1,Low Risk
Customer_159,Female,44,28.43,1200.09,Month-to-month,Yes,3.67,1,Low Risk
Customer_160,Female,35,82.0,2967.49,Month-to-month,No,2.92,0,Low Risk
Customer_161,Female,1,34.74,136.99,Two year,Yes,0.08,1,Medium Risk
Customer_162,Female,52,36.0,1845.73,month to month,Yes,4.33,1,Low Risk
Customer_163,Male,70,21.42,1443.23,One year,No,5.83,0,Low Risk
Customer_164,Female,37,98.21,3607.27,month to month,Yes,3.08,1,Low Risk
Customer_165,Male,65,101.23,6556.12,month to month,Yes,5.42,1,Low Risk
Customer_166,Male,51,36.2,1901.72,Month-to-month,No,4.25,0,Low Risk
Customer_167,Female,1,93.95,68.31,Month-to-month,Yes,0.08,1,High Risk
Customer_168,Female,21,63.35,1272.27,Two year,No,1.75,0,Medium Risk
Customer_169,Female,53,43.96,2334.96,Two year,Yes,4.42,1,Low Risk
Customer_170,Female,16,82.14,1239.7,One year,No,1.33,0,Medium Risk
Customer_171,Female,61,37.85,2362.25,month to month,Yes,5.08,1,Low Risk
Customer_172,Female,54,95.69,5197.26,month to month,Yes,4.5,1,Low Risk
Customer_173,Female,40,24.76,960.41,One year,Yes,3.33,1,Low Risk
Customer_174,Female,26,115.91,2989.12,Month-to-month,Yes,2.17,1,Low Risk
Customer_175,Male,65,27.19,1779.79,Two year,Yes,5.42,1,Low Risk
Customer_176,Female,64,77.94,2104.02,One year,Yes,5.33,1,Low Risk
Customer_177,Female,43,110.22,4700.07,month to month,Yes,3.58,1,Low Risk
Customer_178,Male,17,21.19,348.96,One year,Yes,1.42,1,Medium Risk
Customer_179,Female,59,69.85,4055.21,One year,Yes,4.92,1,Low Risk
Customer_180,Male,23,55.0,1242.28,month to month,No,1.92,0,Medium Risk
Customer_181,Male,7,78.03,492.56,month to month,Yes,0.58,1,High Risk
Customer_182,Male,44,42.55,1943.51,Two year,Yes,3.67,1,Low Risk
Customer_183,Male,53,26.49,1383.8,Two year,Yes,4.42,1,Low Risk
Customer_184,Female,71,82.59,5816.55,month to month,Yes,5.92,1,Low Risk
Customer_185,Male,34,61.68,2130.84,Two year,No,2.83,0,Low Risk
Customer_186,Female,46,82.25,3752.08,Two year,No,3.83,0,Low Risk
Customer_187,Male,68,41.05,2736.28,Two year,Yes,5.67,1,Low Risk
Customer_188,Male,16,53.87,906.3,month to month,Yes,1.33,1,Medium Risk
Customer_189,Male,71,76.17,5391.91,Month-to-month,Yes,5.92,1,Low Risk
Customer_190,Female,19,79.31,1548.94,Month-to-month,Yes,1.58,1,Medium Risk
Customer_191,Male,2,57.23,113.71,Two year,No,0.17,0,Medium Risk
Customer_192,Male,10,48.01,486.56,Month-to-month,No,0.83,0,Medium Risk
Customer_193,Female,50,47.37,2396.66,Two year,No,4.17,0,Low Risk
Customer_194,Male,12,37.47,417.9,Month-to-month,Yes,1.0,1,Medium Risk
Customer_195,Male,70,52.54,3637.29,Month-to-month,Yes,5.83,1,Low Risk
Customer_196,Male,22,39.94,938.77,One year,No,1.83,0,Medium Risk
Customer_197,Female,32,83.38,2697.11,Two year,No,2.67,0,Low Risk
Customer_198,Female,1,76.91,73.54,Month-to-month,No,0.08,0,High Risk
Customer_199,Male,54,58.26,3185.83,Month-to-month,No,4.5,0,Low Risk
Customer_200,Female,58,52.58,3076.65,One year,Yes,4.83,1,Low Risk
Customer_201,Male,70,43.76,3110.37,Month-to-month,Yes,5.83,1,Low Risk
Customer_202,Female,18,73.55,1266.76,One year,No,1.5,0,Medium Risk
Customer_203,Male,6,111.89,668.13,Month-to-month,Yes,0.5,1,High Risk
Customer_204,Female,45,88.57,4042.14,One year,Yes,3.75,1,Low Risk
Customer_205,Male,23,94.44,2255.98,One year,Yes,1.92,1,Medium Risk
Customer_206,Female,23,103.44,2352.32,month to month,Yes,1.92,1,Medium Risk
Customer_207,Female,26,55.16,1442.12,Two year,No,2.17,0,Low Risk
Customer_208,Female,7,26.29,185.0,month to month,No,0.58,0,Medium Risk
Customer_209,Female,44,82.26,3557.23,Two year,No,3.67,0,Low Risk
Customer_210,Female,27,38.87,1035.11,Month-to-month,No,2.25,0,Low Risk
Customer_211,Male,26,76.9,1920.47,Two year,Yes,2.17,1,Low Risk
Customer_212,Male,36,93.95,3373.83,month to month,Yes,3.0,1,Low Risk
Customer_213,Male,55,98.36,5357.9,Two year,No,4.58,0,Low Risk
Customer_214,Male,64,50.18,3220.02,month to month,Yes,5.33,1,Low Risk
Customer_215,Male,57,71.24,4045.19,Two year,No,4.75,0,Low Risk
Customer_216,Male,69,82.1,5648.61,Month-to-month,No,5.75,0,Low Risk
Customer_217,Male,61,101.95,6296.62,Month-to-month,Yes,5.08,1,Low Risk
Customer_218,Female,2,96.14,195.82,Two year,Yes,0.17,1,High Risk
Customer_219,Female,55,118.8,6627.91,Two year,No,4.58,0,Low Risk
Customer_220,Female,38,20.81,813.1,Month-to-month,No,3.17,0,Low Risk
Customer_221,Female,29,63.75,1889.53,Two year,Yes,2.42,1,Low Risk
Customer_222,Male,26,45.6,2104.02,One year,No,2.17,0,Low Risk
Customer_223,Male,35,31.99,1084.97,Month-to-month,No,2.92,0,Low Risk
Customer_224,Male,67,111.15,7447.91,Month-to-month,Yes,5.58,1,Low Risk
Customer_225,Male,29,119.8,2104.02,month to month,No,2.42,0,Low Risk
Customer_226,Female,34,38.06,1275.89,month to month,Yes,2.83,1,Low Risk
Customer_227,Female,41,23.84,905.87,One year,No,3.42,0,Low Risk
Customer_228,Male,41,47.51,1967.81,Two year,No,3.42,0,Low Risk
Customer_229,Female,23,103.49,2383.47,One year,Yes,1.92,1,Medium Risk
Customer_230,Female,71,49.39,3479.14,Two year,No,5.92,0,Low Risk
Customer_231,Female,3,25.69,58.42,month to month,Yes,0.25,1,Medium Risk
Customer_232,Female,58,25.25,1420.95,Two year,Yes,4.83,1,Low Risk
Customer_233,Male,32,62.74,2053.88,month to month,Yes,2.67,1,Low Risk
Customer_234,Male,31,113.18,3509.75,Month-to-month,Yes,2.58,1,Low Risk
Customer_235,Male,43,48.59,2101.39,Month-to-month,Yes,3.58,1,Low Risk
Customer_236,Female,7,62.72,409.22,Two year,No,0.58,0,Medium Risk
Customer_237,Male,1,30.19,97.0,month to month,Yes,0.08,1,Medium Risk
Customer_238,Female,61,69.36,2104.02,One year,No,5.08,0,Low Risk
Customer_239,Female,14,89.65,1148.04,month to month,No,1.17,0,Medium Risk
Customer_240,Female,52,47.12,2473.24,month to month,Yes,4.33,1,Low Risk
Customer_241,Female,6,49.67,284.8,month to month,No,0.5,0,Medium Risk
Customer_242,Male,10,104.2,1033.8,Month-to-month,No,0.83,0,High Risk
Customer_243,Male,71,21.04,1543.52,month to month,No,5.92,0,Low Risk
Customer_244,Male,30,83.65,2513.93,Two year,No,2.5,0,Low Risk
Customer_245,Female,21,59.39,1332.81,Month-to-month,Yes,1.75,1,Medium Risk
Customer_246,Male,60,49.84,2995.68,Month-to-month,No,5.0,0,Low Risk
Customer_247,Female,63,85.76,5379.55,Month-to-month,No,5.25,0,Low Risk
Customer_248,Male,42,103.47,4255.08,month to month,Yes,3.5,1,Low Risk
Customer_249,Male,51,75.84,3831.95,One year,Yes,4.25,1,Low Risk
Customer_250,Female,64,23.11,1462.93,month to month,Yes,5.33,1,Low Risk
Customer_251,Female,56,66.14,3777.15,month to month,No,4.67,0,Low Risk
Customer_252,Male,41,66.28,2694.45,One year,No,3.42,0,Low Risk
Customer_253,Female,32,74.38,2462.26,month to month,No,2.67,0,Low Risk
Customer_254,Male,15,87.1,1249.08,Two year,Yes,1.25,1,Medium Risk
Customer_255,Female,62,21.93,1321.04,One year,Yes,5.17,1,Low Risk
Customer_256,Male,27,70.2,1951.75,Two year,No,2.25,0,Low Risk
Customer_257,Male,28,78.83,2177.48,Two year,No,2.33,0,Low Risk
Customer_258,Female,64,54.34,3532.72,Month-to-month,No,5.33,0,Low Risk
Customer_259,Female,59,86.84,5082.24,Month-to-month,No,4.92,0,Low Risk
Customer_260,Male,58,42.82,2447.26,One year,No,4.83,0,Low Risk
Customer_261,Male,2,51.74,135.57,month to month,No,0.17,0,Medium Risk
Customer_262,Female,36,116.28,4145.46,Two year,No,3.0,0,Low Risk
Customer_263,Male,71,54.81,3877.79,month to month,No,5.92,0,Low Risk
Customer_264,Male,13,54.65,730.19,Two year,No,1.08,0,Medium Risk
Customer_265,Female,15,79.57,1180.92,Month-to-month,Yes,1.25,1,Medium Risk
Customer_266,Male,60,117.1,6997.87,Month-to-month,Yes,5.0,1,Low Risk
Customer_267,Male,22,118.31,2542.46,Month-to-month,No,1.83,0,Medium Risk
Customer_268,Female,63,77.97,2104.02,One year,No,5.25,0,Low Risk
Customer_269,Female,25,20.11,584.56,Two year,No,2.08,0,Low Risk
Customer_270,Female,48,110.07,5299.83,month to month,Yes,4.0,1,Low Risk
Customer_271,Male,43,77.02,3300.25,Two year,No,3.58,0,Low Risk
Customer_272,Female,38,56.6,2141.94,month to month,No,3.17,0,Low Risk
Customer_273,Female,41,102.92,4261.33,month to month,Yes,3.42,1,Low Risk
Customer_274,Male,45,59.98,2750.69,month to month,No,3.75,0,Low Risk
Customer_275,Female,40,23.4,908.99,Two year,Yes,3.33,1,Low Risk
Customer_276,Female,17,102.11,1789.6,Month-to-month,Yes,1.42,1,Medium Risk
Customer_277,Male,57,74.59,4282.38,One year,No,4.75,0,Low Risk
Customer_278,Female,2,53.81,160.48,One year,Yes,0.17,1,Medium Risk
Customer_279,Male,62,45.09,2715.49,Month-to-month,No,5.17,0,Low Risk
Customer_280,Female,9,79.38,693.46,One year,No,0.75,0,High Risk
Customer_281,Female,68,40.8,2765.75,month to month,Yes,5.67,1,Low Risk
Customer_282,Male,17,52.39,867.18,One year,Yes,1.42,1,Medium Risk
Customer_283,Male,50,83.65,4278.37,Two year,No,4.17,0,Low Risk
Customer_284,Male,40,108.15,4305.51,Month-to-month,Yes,3.33,1,Low Risk
Customer_285,Male,58,73.29,4274.24,Month-to-month,Yes,4.83,1,Low Risk
Customer_286,Male,21,95.91,2021.75,Month-to-month,No,1.75,0,Medium Risk
Customer_287,Male,18,96.31,1719.07,Month-to-month,Yes,1.5,1,Medium Risk
Customer_288,Male,55,86.44,4718.77,Two year,Yes,4.58,1,Low Risk
Customer_289,Male,29,44.58,1395.61,month to month,No,2.42,0,Low Risk
Customer_290,Female,24,106.68,2549.23,month to month,No,2.0,0,Low Risk
Customer_291,Female,17,63.63,1125.49,month to month,No,1.42,0,Medium Risk
Customer_292,Male,18,24.42,439.08,One year,No,1.5,0,Medium Risk
Customer_293,Female,42,44.46,1844.38,month to month,No,3.5,0,Low Risk
Customer_294,Male,45,96.55,4350.16,One year,Yes,3.75,1,Low Risk
Customer_295,Male,17,26.91,472.88,Two year,No,1.42,0,Medium Risk
Customer_296,Female,14,34.74,462.88,One year,No,1.17,0,Medium Risk
Customer_297,Female,49,89.42,4343.35,month to month,Yes,4.08,1,Low Risk
Customer_298,Female,29,109.26,3192.35,Month-to-month,Yes,2.42,1,Low Risk
Customer_299,Female,4,83.37,339.3,Two year,Yes,0.33,1,High Risk
Customer_300,Male,20,42.23,812.0,month to month,Yes,1.67,1,Medium Risk
Customer_301,Female,47,25.34,1144.06,month to month,Yes,3.92,1,Low Risk
Customer_302,Male,9,81.51,751.05,month to month,Yes,0.75,1,High Risk
Customer_303,Male,27,24.74,572.08,Two year,Yes,2.25,1,Low Risk
Customer_304,Male,15,81.27,1206.02,Month-to-month,Yes,1.25,1,Medium Risk
Customer_305,Male,19,42.56,815.39,Month-to-month,Yes,1.58,1,Medium Risk
Customer_306,Female,52,110.47,5831.32,Month-to-month,Yes,4.33,1,Low Risk
Customer_307,Female,26,67.51,1755.78,month to month,Yes,2.17,1,Low Risk
Customer_308,Female,26,42.39,1087.08,One year,No,2.17,0,Low Risk
Customer_309,Female,26,105.31,2752.29,month to month,No,2.17,0,Low Risk
Customer_310,Female,46,45.4,2052.57,Month-to-month,Yes,3.83,1,Low Risk
Customer_311,Male,49,50.66,2471.39,Two year,No,4.08,0,Low Risk
Customer_312,Male,53,103.43,2104.02,One year,No,4.42,0,Low Risk
Customer_313,Male,3,50.88,184.12,One year,No,0.25,0,Medium Risk
Customer_314,Female,66,61.02,3993.67,month to month,Yes,5.5,1,Low Risk
Customer_315,Male,42,54.77,2300.05,Two year,Yes,3.5,1,Low Risk
Customer_316,Female,19,31.64,511.61,One year,No,1.58,0,Medium Risk
Customer_317,Male,17,23.89,431.96,Month-to-month,No,1.42,0,Medium Risk
Customer_318,Female,33,92.45,3039.33,month to month,No,2.75,0,Low Risk
Customer_319,Male,49,84.51,4235.21,month to month,No,4.08,0,Low Risk
Customer_320,Female,56,48.24,2719.01,Month-to-month,Yes,4.67,1,Low Risk
Customer_321,Male,63,49.56,3078.93,Month-to-month,Yes,5.25,1,Low Risk
Customer_322,Male,3,114.5,288.82,Month-to-month,Yes,0.25,1,High Risk
Customer_323,Male,49,118.77,5852.81,One year,Yes,4.08,1,Low Risk
Customer_324,Female,55,67.34,3793.52,Two year,Yes,4.58,1,Low Risk
Customer_325,Male,26,100.25,2681.01,One year,No,2.17,0,Low Risk
Customer_326,Male,52,93.67,4810.21,Two year,Yes,4.33,1,Low Risk
Customer_327,Female,7,49.73,358.27,month to month,No,0.58,0,Medium Risk
Customer_328,Female,46,25.86,1245.91,Two year,Yes,3.83,1,Low Risk
Customer_329,Female,46,34.26,1508.9,Month-to-month,No,3.83,0,Low Risk
Customer_330,Female,16,103.83,1713.15,One year,No,1.33,0,Medium Risk
Customer_331,Female,24,93.12,2199.74,Month-to-month,No,2.0,0,Low Risk
Customer_332,Female,61,86.43,5261.46,month to month,No,5.08,0,Low Risk
Customer_333,Male,54,33.06,1799.07,One year,No,4.5,0,Low Risk
Customer_334,Male,62,83.99,5260.8,One year,No,5.17,0,Low Risk
Customer_335,Female,1,97.22,173.82,Month-to-month,No,0.08,0,High Risk
Customer_336,Male,49,106.06,5180.79,One year,Yes,4.08,1,Low Risk
Customer_337,Male,25,21.32,509.02,Month-to-month,No,2.08,0,Low Risk
Customer_338,Female,10,88.45,857.19,Two year,No,0.83,0,High Risk
Customer_339,Male,16,21.91,389.54,month to month,No,1.33,0,Medium Risk
Customer_340,Female,58,90.69,5309.8,Month-to-month,Yes,4.83,1,Low Risk
Customer_341,Male,29,83.56,2467.96,month to month,No,2.42,0,Low Risk
Customer_342,Female,6,34.83,222.47,One year,No,0.5,0,Medium Risk
Customer_343,Male,16,96.61,1564.18,month to month,No,1.33,0,Medium Risk
Customer_344,Male,20,26.83,525.08,month to month,No,1.67,0,Medium Risk
Customer_345,Female,71,102.64,7280.58,month to month,Yes,5.92,1,Low Risk
Customer_346,Male,43,46.19,2028.87,One year,No,3.58,0,Low Risk
Customer_347,Male,26,88.89,2324.35,Two year,Yes,2.17,1,Low Risk
Customer_348,Female,71,112.37,7954.61,Two year,Yes,5.92,1,Low Risk
Customer_349,Male,33,53.98,1836.31,Two year,No,2.75,0,Low Risk
Customer_350,Male,26,70.29,1797.15,Month-to-month,No,2.17,0,Low Risk
Customer_351,Male,45,66.31,2991.23,Month-to-month,No,3.75,0,Low Risk
