CustomerID,Tenure,InternetService,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn,TenureBucket,HighRiskCustomer,RevenueSegment
C00025,69,fiber optic,month-to-month,78.05,4920.54,bank transfer,yes,49-72 Months,No,Medium Value
C00026,64,fiber optic,one year,69.64,4833.03,electronic check,no,49-72 Months,No,Medium Value
C00027,34,fiber optic,one year,63.27,2375.98,bank transfer,no,25-48 Months,No,Medium Value
C00028,58,no internet,one year,87.12,5138.57,electronic check,no,49-72 Months,No,High Value
C00029,10,fiber optic,month-to-month,130.61,1319.36,electronic check,no,0-12 Months,Yes,High Value
C00030,22,fiber optic,two year,77.04,1565.13,electronic check,yes,13-24 Months,No,Medium Value
C00031,18,fiber optic,two year,52.27,1003.49,bank transfer,no,13-24 Months,No,Medium Value
C00032,15,fiber optic,month-to-month,60.96,917.76,mailed check,yes,13-24 Months,No,Medium Value
C00033,27,fiber optic,month-to-month,81.8,2337.14,electronic check,no,25-48 Months,No,High Value
C00034,30,fiber optic,one year,36.29,1194.58,electronic check,no,25-48 Months,No,Low Value
C00035,52,dsl,month-to-month,96.34,4841.9,electronic check,yes,49-72 Months,No,High Value
C00036,70,unknown,month-to-month,46.9,2959.18,bank transfer,yes,49-72 Months,No,Medium Value
C00037,26,fiber optic,one year,40.21,1002.06,mailed check,no,25-48 Months,No,Medium Value
C00038,6,dsl,month-to-month,51.58,301.89,bank transfer,yes,0-12 Months,No,Medium Value
C00039,14,dsl,month-to-month,74.97,930.23,electronic check,no,13-24 Months,No,Medium Value
C00040,54,dsl,two year,61.94,3098.45,mailed check,no,49-72 Months,No,Medium Value
C00041,71,fiber optic,one year,57.1,4337.71,electronic check,no,49-72 Months,No,Medium Value
C00042,1,no internet,two year,84.28,90.68,bank transfer,yes,0-12 Months,No,High Value
C00043,43,dsl,month-to-month,84.74,3645.02,credit card,no,25-48 Months,No,High Value
C00044,58,dsl,month-to-month,56.98,3093.74,bank transfer,yes,49-72 Months,No,Medium Value
C00045,55,fiber optic,month-to-month,54.07,3358.59,electronic check,no,49-72 Months,No,Medium Value
C00046,25,dsl,month-to-month,81.54,2313.28,credit card,no,25-48 Months,No,High Value
C00047,50,dsl,one year,85.87,4756.23,electronic check,no,49-72 Months,No,High Value
C00048,56,fiber optic,one year,95.58,4993.36,electronic check,no,49-72 Months,No,High Value
C00049,49,no internet,month-to-month,106.2,5667.16,bank transfer,no,49-72 Months,No,High Value
C00050,12,fiber optic,month-to-month,56.93,714.24,credit card,no,0-12 Months,Yes,Medium Value
C00051,18,fiber optic,two year,74.73,1148.91,electronic check,yes,13-24 Months,No,Medium Value
C00052,1,fiber optic,one year,57.29,59.48,unknown,no,0-12 Months,No,Medium Value
C00053,51,dsl,one year,69.6,3718.36,electronic check,no,49-72 Months,No,Medium Value
C00054,44,fiber optic,month-to-month,62.4,2627.44,credit card,yes,25-48 Months,No,Medium Value
C00055,48,fiber optic,one year,115.93,4971.56,electronic check,no,25-48 Months,No,High Value
C00056,56,no internet,two year,86.99,4459.76,bank transfer,no,49-72 Months,No,High Value
C00057,49,fiber optic,two year,97.67,5075.35,credit card,yes,49-72 Months,No,High Value
C00058,3,dsl,month-to-month,107.14,306.04,electronic check,no,0-12 Months,No,High Value
C00059,67,fiber optic,month-to-month,47.71,3030.32,electronic check,yes,49-72 Months,No,Medium Value
C00060,11,dsl,two year,82.82,791.29,electronic check,yes,0-12 Months,No,High Value
C00061,21,dsl,month-to-month,77.15,1818.66,bank transfer,yes,13-24 Months,No,Medium Value
C00062,3,dsl,one year,68.95,224.38,credit card,no,0-12 Months,No,Medium Value
C00063,11,dsl,one year,80.57,767.96,bank transfer,no,0-12 Months,No,High Value
C00064,3,fiber optic,month-to-month,78.91,248.85,credit card,no,0-12 Months,Yes,Medium Value
C00065,6,dsl,month-to-month,15.0,83.39,credit card,yes,0-12 Months,No,Low Value
C00066,9,fiber optic,one year,115.08,943.4,mailed check,yes,0-12 Months,No,High Value
C00067,14,fiber optic,month-to-month,84.55,1198.14,mailed check,no,13-24 Months,No,High Value
C00068,70,no internet,one year,32.93,2396.07,mailed check,no,49-72 Months,No,Low Value
C00069,12,fiber optic,two year,93.69,1286.15,electronic check,no,0-12 Months,No,High Value
C00070,54,unknown,one year,83.0,4439.39,mailed check,no,49-72 Months,No,High Value
C00071,27,fiber optic,month-to-month,77.71,2163.64,bank transfer,no,25-48 Months,No,Medium Value
C00072,38,fiber optic,month-to-month,102.67,3441.77,bank transfer,no,25-48 Months,No,High Value
C00073,17,fiber optic,one year,70.21,1169.95,unknown,no,13-24 Months,No,Medium Value
C00074,61,fiber optic,month-to-month,58.49,3488.82,mailed check,no,49-72 Months,No,Medium Value
C00075,65,fiber optic,month-to-month,53.83,3999.03,bank transfer,yes,49-72 Months,No,Medium Value
C00076,47,dsl,two year,51.78,2198.9,bank transfer,no,25-48 Months,No,Medium Value
C00077,16,fiber optic,month-to-month,80.54,1267.04,mailed check,no,13-24 Months,No,High Value
C00078,5,fiber optic,month-to-month,97.93,547.43,bank transfer,yes,0-12 Months,Yes,High Value
C00079,46,fiber optic,one year,100.58,3979.92,electronic check,no,25-48 Months,No,High Value
C00080,15,no internet,month-to-month,55.58,812.51,credit card,no,13-24 Months,No,Medium Value
C00081,59,no internet,two year,70.96,4344.46,mailed check,no,49-72 Months,No,Medium Value
C00082,40,no internet,month-to-month,81.53,3178.63,unknown,no,25-48 Months,No,High Value
C00083,25,no internet,two year,54.68,1385.68,credit card,no,25-48 Months,No,Medium Value
C00084,45,fiber optic,month-to-month,34.63,1641.15,electronic check,no,25-48 Months,No,Low Value
C00085,49,dsl,month-to-month,94.44,4844.17,bank transfer,yes,49-72 Months,No,High Value
C00086,0,fiber optic,month-to-month,82.65,73.57,bank transfer,no,0-12 Months,Yes,High Value
C00087,35,dsl,one year,74.71,2744.36,mailed check,no,25-48 Months,No,Medium Value
C00088,29,no internet,month-to-month,65.89,1798.95,electronic check,no,25-48 Months,No,Medium Value
C00089,1,dsl,month-to-month,105.78,113.37,mailed check,yes,0-12 Months,No,High Value
C00090,68,dsl,month-to-month,82.57,4980.37,bank transfer,no,49-72 Months,No,High Value
C00091,30,dsl,one year,88.73,2687.63,credit card,no,25-48 Months,No,High Value
C00092,7,dsl,month-to-month,54.52,337.91,credit card,yes,0-12 Months,No,Medium Value
C00093,60,no internet,month-to-month,69.97,4529.9,mailed check,no,49-72 Months,No,Medium Value
C00094,65,fiber optic,two year,101.09,6667.05,mailed check,yes,49-72 Months,No,High Value
C00095,67,fiber optic,one year,81.46,5215.33,electronic check,no,49-72 Months,No,High Value
C00096,44,fiber optic,month-to-month,68.67,3016.68,bank transfer,no,25-48 Months,No,Medium Value
C00097,51,dsl,month-to-month,39.28,1998.09,mailed check,no,49-72 Months,No,Low Value
C00098,7,fiber optic,month-to-month,113.26,771.16,mailed check,yes,0-12 Months,Yes,High Value
C00099,70,dsl,one year,38.26,2370.75,credit card,no,49-72 Months,No,Low Value
C00100,13,unknown,two year,87.88,1221.71,credit card,no,13-24 Months,No,High Value
C00101,28,fiber optic,two year,80.26,2367.29,electronic check,no,25-48 Months,No,High Value
C00102,63,dsl,two year,113.57,6360.38,electronic check,no,49-72 Months,No,High Value
C00103,36,no internet,month-to-month,76.3,3045.34,bank transfer,no,25-48 Months,No,Medium Value
C00104,40,dsl,two year,81.62,3572.22,bank transfer,no,25-48 Months,No,High Value
C00106,58,no internet,month-to-month,67.18,4076.68,mailed check,no,49-72 Months,No,Medium Value
C00107,8,fiber optic,one year,15.86,140.81,credit card,no,0-12 Months,No,Low Value
C00108,6,dsl,month-to-month,102.27,691.81,credit card,yes,0-12 Months,No,High Value
C00109,65,fiber optic,month-to-month,87.16,6031.27,credit card,yes,49-72 Months,No,High Value
C00110,70,dsl,one year,93.13,6293.06,credit card,no,49-72 Months,No,High Value
C00111,40,fiber optic,month-to-month,59.49,2230.46,electronic check,yes,25-48 Months,No,Medium Value
C00112,25,fiber optic,one year,76.84,1834.29,mailed check,no,25-48 Months,No,Medium Value
C00113,7,fiber optic,one year,15.0,116.58,electronic check,yes,0-12 Months,No,Low Value
C00114,13,dsl,two year,113.96,1387.15,credit card,no,13-24 Months,No,High Value
C00115,44,dsl,month-to-month,92.05,4464.79,bank transfer,no,25-48 Months,No,High Value
C00116,1,dsl,month-to-month,70.21,91.29,electronic check,yes,0-12 Months,No,Medium Value
C00117,41,fiber optic,month-to-month,85.41,3181.94,bank transfer,no,25-48 Months,No,High Value
C00118,56,fiber optic,one year,85.82,4865.4,credit card,yes,49-72 Months,No,High Value
C00119,63,fiber optic,two year,103.33,6529.25,mailed check,no,49-72 Months,No,High Value
C00120,3,dsl,one year,97.9,251.66,electronic check,no,0-12 Months,No,High Value
C00121,17,dsl,month-to-month,72.2,1409.29,electronic check,no,13-24 Months,No,Medium Value
C00122,69,dsl,two year,50.49,3221.64,credit card,no,49-72 Months,No,Medium Value
C00123,50,fiber optic,two year,80.73,3825.96,bank transfer,no,49-72 Months,No,High Value
C00124,2,no internet,month-to-month,58.07,122.03,electronic check,no,0-12 Months,No,Medium Value
C00125,18,dsl,month-to-month,89.84,1849.29,bank transfer,no,13-24 Months,No,High Value
C00126,46,dsl,month-to-month,66.94,3481.06,electronic check,yes,25-48 Months,No,Medium Value
C00127,45,fiber optic,two year,66.71,3051.5,electronic check,yes,25-48 Months,No,Medium Value
C00128,57,dsl,month-to-month,29.09,1475.07,electronic check,no,49-72 Months,No,Low Value
C00129,35,dsl,one year,81.01,2481.9,mailed check,no,25-48 Months,No,High Value
C00130,18,fiber optic,one year,95.34,1713.33,electronic check,no,13-24 Months,No,High Value
C00131,46,dsl,two year,86.65,4497.98,unknown,no,25-48 Months,No,High Value
C00132,54,no internet,month-to-month,76.26,4158.67,credit card,no,49-72 Months,No,Medium Value
C00133,62,dsl,two year,81.48,4656.84,electronic check,no,49-72 Months,No,High Value
C00134,67,fiber optic,one year,82.56,5455.24,electronic check,no,49-72 Months,No,High Value
C00135,11,fiber optic,month-to-month,74.57,819.81,electronic check,yes,0-12 Months,Yes,Medium Value
C00136,26,dsl,two year,76.28,2127.88,credit card,no,25-48 Months,No,Medium Value
C00137,10,fiber optic,month-to-month,90.54,886.0,mailed check,no,0-12 Months,Yes,High Value
C00138,3,fiber optic,month-to-month,39.94,136.36,electronic check,yes,0-12 Months,Yes,Low Value
C00139,45,fiber optic,month-to-month,99.57,4062.63,electronic check,yes,25-48 Months,No,High Value
C00140,58,dsl,month-to-month,112.82,6543.5599999999995,credit card,no,49-72 Months,No,High Value
C00141,59,fiber optic,two year,104.72,6098.77,bank transfer,no,49-72 Months,No,High Value
C00142,23,fiber optic,month-to-month,15.0,322.76,bank transfer,no,13-24 Months,No,Low Value
C00143,25,no internet,month-to-month,62.29,1639.11,unknown,yes,25-48 Months,No,Medium Value
C00144,27,fiber optic,one year,15.0,417.49,credit card,yes,25-48 Months,No,Low Value
C00145,57,fiber optic,two year,101.62,5079.19,bank transfer,no,49-72 Months,No,High Value
C00146,3,fiber optic,two year,111.43,335.38,electronic check,no,0-12 Months,No,High Value
C00147,59,no internet,two year,33.73,1959.67,mailed check,no,49-72 Months,No,Low Value
C00148,48,fiber optic,two year,77.6,3747.87,bank transfer,no,25-48 Months,No,Medium Value
C00149,56,dsl,one year,99.49,6024.49,mailed check,no,49-72 Months,No,High Value
C00150,4,fiber optic,month-to-month,41.18,188.76,bank transfer,no,0-12 Months,Yes,Medium Value
C00151,69,dsl,one year,17.56,1118.47,bank transfer,no,49-72 Months,No,Low Value
C00152,56,unknown,month-to-month,58.69,2932.88,electronic check,yes,49-72 Months,No,Medium Value
C00153,60,fiber optic,month-to-month,38.05,2538.74,electronic check,yes,49-72 Months,No,Low Value
C00154,9,dsl,month-to-month,55.24,425.36,mailed check,no,0-12 Months,No,Medium Value
C00155,66,dsl,two year,33.15,1932.14,electronic check,no,49-72 Months,No,Low Value
C00156,33,fiber optic,month-to-month,57.02,1616.86,electronic check,yes,25-48 Months,No,Medium Value
C00157,69,fiber optic,two year,28.28,2059.79,electronic check,no,49-72 Months,No,Low Value
C00158,9,fiber optic,one year,117.86,1207.53,electronic check,no,0-12 Months,No,High Value
C00159,28,no internet,one year,44.57,1414.99,bank transfer,no,25-48 Months,No,Medium Value
C00160,66,fiber optic,month-to-month,65.73,4100.51,electronic check,yes,49-72 Months,No,Medium Value
C00161,10,dsl,two year,70.21,744.66,bank transfer,yes,0-12 Months,No,Medium Value
C00162,3,no internet,two year,42.93,113.44,bank transfer,yes,0-12 Months,No,Medium Value
C00163,48,no internet,month-to-month,80.9,3691.05,electronic check,yes,25-48 Months,No,High Value
C00164,3,dsl,month-to-month,54.8,187.75,credit card,yes,0-12 Months,No,Medium Value
C00165,23,fiber optic,month-to-month,98.89,2495.2,mailed check,no,13-24 Months,No,High Value
C00166,55,fiber optic,month-to-month,50.62,3044.31,credit card,no,49-72 Months,No,Medium Value
C00167,34,fiber optic,one year,47.38,1610.92,electronic check,yes,25-48 Months,No,Medium Value
C00168,37,no internet,one year,137.55,5591.78,electronic check,no,25-48 Months,No,High Value
C00169,49,fiber optic,month-to-month,95.84,4499.18,credit card,no,49-72 Months,No,High Value
C00170,25,fiber optic,one year,77.95,1822.21,credit card,no,25-48 Months,No,Medium Value
C00171,17,fiber optic,month-to-month,51.63,810.81,bank transfer,no,13-24 Months,No,Medium Value
C00172,58,no internet,month-to-month,35.25,1864.85,unknown,no,49-72 Months,No,Low Value
C00173,66,fiber optic,month-to-month,95.44,5769.48,mailed check,no,49-72 Months,No,High Value
C00174,45,fiber optic,month-to-month,70.21,2310.6,electronic check,no,25-48 Months,No,Medium Value
C00175,10,fiber optic,month-to-month,24.66,248.41,mailed check,yes,0-12 Months,Yes,Low Value
C00176,8,dsl,month-to-month,97.68,781.44,electronic check,yes,0-12 Months,No,High Value
C00177,25,no internet,month-to-month,65.02,1725.95,mailed check,no,25-48 Months,No,Medium Value
C00178,67,fiber optic,one year,42.62,2539.42,electronic check,no,49-72 Months,No,Medium Value
C00179,65,fiber optic,month-to-month,56.52,3673.8,credit card,yes,49-72 Months,No,Medium Value
C00180,7,dsl,two year,42.96,324.85,credit card,yes,0-12 Months,No,Medium Value
C00181,70,dsl,two year,62.56,4979.34,electronic check,no,49-72 Months,No,Medium Value
C00182,39,fiber optic,two year,81.87,2972.6,electronic check,no,25-48 Months,No,High Value
C00183,38,unknown,month-to-month,26.48,964.06,electronic check,yes,25-48 Months,No,Low Value
C00184,5,fiber optic,one year,83.43,412.35,bank transfer,yes,0-12 Months,No,High Value
C00185,9,no internet,month-to-month,97.27,898.73,bank transfer,no,0-12 Months,No,High Value
C00186,40,no internet,two year,70.21,2503.49,mailed check,no,25-48 Months,No,Medium Value
C00187,68,no internet,month-to-month,84.77,5004.51,electronic check,no,49-72 Months,No,High Value
C00188,21,no internet,one year,78.62,1828.81,mailed check,no,13-24 Months,No,Medium Value
C00189,50,fiber optic,one year,96.94,4730.67,mailed check,no,49-72 Months,No,High Value
C00190,36,fiber optic,two year,40.23,1444.77,credit card,no,25-48 Months,No,Medium Value
C00191,44,dsl,month-to-month,80.16,3336.96,mailed check,yes,25-48 Months,No,High Value
C00192,61,fiber optic,month-to-month,108.59,6992.17,credit card,no,49-72 Months,No,High Value
C00193,14,dsl,one year,44.92,665.55,bank transfer,no,13-24 Months,No,Medium Value
C00194,23,fiber optic,two year,16.91,381.36,credit card,no,13-24 Months,No,Low Value
C00195,62,fiber optic,two year,49.9,3440.27,credit card,yes,49-72 Months,No,Medium Value
C00196,28,fiber optic,month-to-month,122.78,3582.77,bank transfer,yes,25-48 Months,No,High Value
C00197,24,dsl,one year,68.86,1647.42,mailed check,no,13-24 Months,No,Medium Value
C00198,15,dsl,one year,62.06,930.9000000000001,electronic check,no,13-24 Months,No,Medium Value
C00199,49,dsl,one year,35.36,1836.04,mailed check,no,49-72 Months,No,Low Value
C00200,4,dsl,month-to-month,71.64,306.97,mailed check,yes,0-12 Months,No,Medium Value
C00201,21,fiber optic,month-to-month,77.39,1618.38,electronic check,yes,13-24 Months,No,Medium Value
C00202,32,no internet,month-to-month,75.98,2146.35,credit card,no,25-48 Months,No,Medium Value
C00203,39,dsl,month-to-month,85.97,3415.52,unknown,no,25-48 Months,No,High Value
C00204,1,dsl,month-to-month,55.44,49.28,mailed check,no,0-12 Months,No,Medium Value
C00205,35,fiber optic,month-to-month,79.56,2487.81,electronic check,no,25-48 Months,No,Medium Value
C00206,58,dsl,month-to-month,76.76,4629.86,unknown,yes,49-72 Months,No,Medium Value
C00207,38,dsl,month-to-month,100.24,3643.51,electronic check,no,25-48 Months,No,High Value
C00208,1,no internet,month-to-month,81.69,71.88,bank transfer,no,0-12 Months,No,High Value
C00209,52,dsl,month-to-month,94.77,5516.4,credit card,no,49-72 Months,No,High Value
C00210,17,fiber optic,two year,101.43,1546.56,credit card,no,13-24 Months,No,High Value
C00211,45,dsl,two year,100.81,4743.97,bank transfer,no,25-48 Months,No,High Value
C00212,22,fiber optic,month-to-month,33.42,841.67,credit card,no,13-24 Months,No,Low Value
C00213,53,fiber optic,one year,108.86,5290.08,unknown,yes,49-72 Months,No,High Value
C00214,0,dsl,month-to-month,65.34,58.55,credit card,no,0-12 Months,No,Medium Value
C00215,35,dsl,two year,57.38,2018.98,mailed check,no,25-48 Months,No,Medium Value
C00216,71,fiber optic,month-to-month,85.25,6418.0,mailed check,no,49-72 Months,No,High Value
C00217,39,dsl,one year,49.15,2045.73,bank transfer,no,25-48 Months,No,Medium Value
C00218,29,unknown,one year,73.08,1892.44,electronic check,no,25-48 Months,No,Medium Value
C00219,19,no internet,month-to-month,65.26,1084.44,credit card,no,13-24 Months,No,Medium Value
C00220,37,dsl,one year,81.92,2868.86,bank transfer,no,25-48 Months,No,High Value
C00221,1,fiber optic,month-to-month,88.15,80.46,mailed check,no,0-12 Months,Yes,High Value
C00222,5,dsl,month-to-month,64.18,323.25,electronic check,no,0-12 Months,No,Medium Value
C00223,35,no internet,month-to-month,91.26,2876.54,bank transfer,no,25-48 Months,No,High Value
C00224,25,dsl,month-to-month,38.54,845.54,electronic check,no,25-48 Months,No,Low Value
C00225,70,dsl,two year,86.77,6320.44,electronic check,no,49-72 Months,No,High Value
C00226,58,fiber optic,month-to-month,59.54,3341.31,credit card,no,49-72 Months,No,Medium Value
C00227,29,dsl,month-to-month,82.41,2134.45,mailed check,no,25-48 Months,No,High Value
C00228,21,dsl,month-to-month,76.82,1610.6,electronic check,no,13-24 Months,No,Medium Value
C00229,16,dsl,two year,62.11,938.99,credit card,no,13-24 Months,No,Medium Value
C00230,30,fiber optic,month-to-month,59.05,2030.76,electronic check,no,25-48 Months,No,Medium Value
C00231,55,dsl,month-to-month,140.0,7700.0,electronic check,yes,49-72 Months,No,High Value
C00232,30,dsl,one year,80.87,2309.5,bank transfer,no,25-48 Months,No,High Value
C00233,12,fiber optic,two year,20.57,228.79,mailed check,no,0-12 Months,No,Low Value
C00234,16,dsl,month-to-month,48.27,764.21,electronic check,no,13-24 Months,No,Medium Value
C00235,38,dsl,two year,114.82,3722.85,electronic check,no,25-48 Months,No,High Value
C00236,7,dsl,two year,69.7,525.65,credit card,no,0-12 Months,No,Medium Value
C00237,37,fiber optic,one year,54.6,2242.08,electronic check,yes,25-48 Months,No,Medium Value
C00238,14,fiber optic,month-to-month,15.0,230.51,credit card,no,13-24 Months,No,Low Value
C00239,0,fiber optic,one year,74.62,82.11,electronic check,no,0-12 Months,No,Medium Value
C00240,2,dsl,month-to-month,79.9,151.94,mailed check,no,0-12 Months,No,Medium Value
C00241,37,no internet,two year,63.1,2193.24,electronic check,no,25-48 Months,No,Medium Value
C00242,47,fiber optic,two year,58.79,2866.03,electronic check,no,25-48 Months,No,Medium Value
C00243,62,unknown,month-to-month,49.02,2923.13,electronic check,yes,49-72 Months,No,Medium Value
C00244,61,fiber optic,one year,79.29,4509.31,electronic check,no,49-72 Months,No,Medium Value
C00245,14,unknown,two year,43.32,681.76,mailed check,no,13-24 Months,No,Medium Value
C00246,61,dsl,one year,83.31,4871.23,credit card,no,49-72 Months,No,High Value
C00247,37,dsl,month-to-month,37.81,1359.77,electronic check,no,25-48 Months,No,Low Value
C00248,19,dsl,month-to-month,68.09,1100.0,credit card,yes,13-24 Months,No,Medium Value
C00249,58,fiber optic,one year,49.7,2580.85,electronic check,yes,49-72 Months,No,Medium Value
C00250,6,fiber optic,month-to-month,134.95,881.45,credit card,yes,0-12 Months,Yes,High Value
C00251,71,fiber optic,one year,84.01,5964.71,electronic check,no,49-72 Months,No,High Value
C00252,70,fiber optic,month-to-month,63.17,3859.52,electronic check,no,49-72 Months,No,Medium Value
C00253,51,no internet,month-to-month,45.97,2169.34,electronic check,no,49-72 Months,No,Medium Value
C00254,3,no internet,month-to-month,38.27,127.46,bank transfer,no,0-12 Months,No,Low Value
C00255,0,dsl,month-to-month,70.36,70.81,electronic check,yes,0-12 Months,No,Medium Value
C00256,37,no internet,month-to-month,93.36,3632.96,electronic check,no,25-48 Months,No,High Value
C00257,52,no internet,two year,85.12,4323.93,credit card,no,49-72 Months,No,High Value
C00259,14,fiber optic,month-to-month,64.38,901.3199999999999,electronic check,yes,13-24 Months,No,Medium Value
C00260,2,fiber optic,month-to-month,70.21,199.37,credit card,no,0-12 Months,Yes,Medium Value
C00261,32,dsl,month-to-month,48.83,1457.16,unknown,no,25-48 Months,No,Medium Value
C00262,55,dsl,month-to-month,129.87,7105.36,mailed check,yes,49-72 Months,No,High Value
C00263,32,dsl,two year,43.25,1237.83,bank transfer,yes,25-48 Months,No,Medium Value
C00264,30,no internet,month-to-month,34.17,978.4,bank transfer,no,25-48 Months,No,Low Value
C00265,3,dsl,one year,129.58,388.74,electronic check,yes,0-12 Months,No,High Value
C00266,21,dsl,month-to-month,75.09,1660.96,electronic check,no,13-24 Months,No,Medium Value
C00267,30,dsl,month-to-month,68.85,2098.15,credit card,no,25-48 Months,No,Medium Value
C00268,59,dsl,two year,94.29,5711.62,unknown,no,49-72 Months,No,High Value
C00269,31,no internet,month-to-month,41.46,1131.11,bank transfer,yes,25-48 Months,No,Medium Value
C00270,70,dsl,one year,100.37,7939.61,mailed check,no,49-72 Months,No,High Value
C00271,7,fiber optic,two year,48.36,344.99,bank transfer,yes,0-12 Months,No,Medium Value
C00272,61,unknown,two year,65.99,3489.25,electronic check,no,49-72 Months,No,Medium Value
C00273,27,fiber optic,month-to-month,64.17,1610.35,electronic check,yes,25-48 Months,No,Medium Value
C00274,65,fiber optic,one year,33.95,2042.5,electronic check,no,49-72 Months,No,Low Value
C00275,16,no internet,month-to-month,88.64,1315.16,electronic check,yes,13-24 Months,No,High Value
C00276,1,fiber optic,two year,103.4,100.63,mailed check,yes,0-12 Months,No,High Value
C00277,7,fiber optic,two year,58.54,448.87,electronic check,no,0-12 Months,No,Medium Value
C00278,37,dsl,month-to-month,46.57,1832.53,electronic check,yes,25-48 Months,No,Medium Value
C00279,19,dsl,one year,76.42,1324.89,credit card,yes,13-24 Months,No,Medium Value
C00280,63,fiber optic,month-to-month,36.62,2577.92,bank transfer,yes,49-72 Months,No,Low Value
C00281,20,no internet,two year,23.62,439.71,bank transfer,no,13-24 Months,No,Low Value
C00282,30,fiber optic,one year,67.17,2152.48,mailed check,no,25-48 Months,No,Medium Value
C00283,69,dsl,month-to-month,96.06,7011.57,credit card,yes,49-72 Months,No,High Value
C00284,14,fiber optic,month-to-month,111.66,1696.12,electronic check,yes,13-24 Months,No,High Value
C00285,56,dsl,two year,78.35,3872.57,mailed check,no,49-72 Months,No,Medium Value
C00286,0,dsl,month-to-month,73.27,75.48,electronic check,no,0-12 Months,No,Medium Value
C00287,28,no internet,one year,80.52,2068.03,credit card,no,25-48 Months,No,High Value
C00288,65,fiber optic,one year,63.49,4483.71,bank transfer,yes,49-72 Months,No,Medium Value
C00289,21,dsl,one year,36.88,825.23,electronic check,no,13-24 Months,No,Low Value
C00290,60,dsl,month-to-month,50.01,2626.08,electronic check,no,49-72 Months,No,Medium Value
C00291,28,no internet,two year,52.8,1635.18,mailed check,no,25-48 Months,No,Medium Value
C00292,8,fiber optic,two year,73.19,498.44,bank transfer,yes,0-12 Months,No,Medium Value
C00293,40,dsl,month-to-month,98.69,3928.6,electronic check,yes,25-48 Months,No,High Value
C00294,20,dsl,month-to-month,137.28,3076.62,bank transfer,yes,13-24 Months,No,High Value
C00295,54,no internet,month-to-month,22.41,1210.14,bank transfer,no,49-72 Months,No,Low Value
C00296,39,fiber optic,one year,41.67,1445.4,credit card,no,25-48 Months,No,Medium Value
C00297,25,fiber optic,two year,95.37,2512.32,bank transfer,no,25-48 Months,No,High Value
C00298,47,dsl,month-to-month,125.49,6577.08,mailed check,no,25-48 Months,No,High Value
C00299,2,dsl,month-to-month,100.34,196.55,bank transfer,yes,0-12 Months,No,High Value
C00300,32,fiber optic,month-to-month,55.89,1977.46,mailed check,yes,25-48 Months,No,Medium Value
C00301,41,dsl,one year,92.89,3614.75,mailed check,no,25-48 Months,No,High Value
C00302,42,fiber optic,month-to-month,71.23,2610.83,electronic check,no,25-48 Months,No,Medium Value
C00303,69,fiber optic,one year,31.26,2212.83,mailed check,no,49-72 Months,No,Low Value
C00304,3,dsl,two year,46.71,141.75,credit card,no,0-12 Months,No,Medium Value
C00305,63,dsl,month-to-month,88.08,6222.7,mailed check,no,49-72 Months,No,High Value
