CustomerName,Gender,Tenure,MonthlyCharges,TotalCharges,Contract,Churn
Customer_34,FEMALE,1,23.11,79.3549844819259,Month-to-month,Y
Customer_35,f,34,109.54,3694.291421774901,Two year,no
Customer_36,f,62,25.05,1476.115708324778,Month-to-month,yes
Customer_37,f,71,86.58,6124.172841465159,One year,no
Customer_38,male,31,27.17,846.8615909505808,Two year,N
Customer_39,FEMALE,64,90.62,5856.897155922966,One year,yes
Customer_40,FEMALE,25,23.4,582.2697676160763,Month-to-month,No
Customer_41,Male,38,104.25,4109.818289758801,One year,N
Customer_42,male,14,66.59,910.6252004715074,Two year,No
Customer_43,M ,8,29.35,264.3528801224096,month to month,N
Customer_44,male,54,90.68,4866.790455410215,One year,Yes
Customer_45,M ,2,68.93,158.17411929111722,Two year,N
Customer_46,Male,56,39.09,,One year,Y
Customer_47,Female,61,21.57,1303.3369521377047,One year,No
Customer_48,FEMALE,22,61.8,1328.6603948552104,month to month,N
Customer_49,Male,35,28.56,1006.9771203215618,Two year,Y
Customer_50,FEMALE,16,29.42,512.5286463233823,Two year,Yes
Customer_51,f,50,46.73,2287.7466817897393,Two year,N
Customer_52,Female,43,83.05,3568.721350251396,Month-to-month,Y
Customer_53,Female,17,72.99,1265.4867035327818,One year,N
Customer_54,Male,58,26.9,1594.3445553836502,month to month,No
Customer_55,Female,2,116.84,326.8313923591888,Two year,No
Customer_56,M ,4,108.72,463.8139223025119,month to month,no
Customer_57,Female,39,45.92,1770.8788951382446,Month-to-month,no
Customer_58,FEMALE,6,32.23,164.97992207949986,Month-to-month,N
Customer_59,FEMALE,69,114.24,7853.54709128192,month to month,no
Customer_60,FEMALE,69,66.11,4529.7911611699055,Two year,N
Customer_61,FEMALE,20,51.12,1033.1868009303696,month to month,N
Customer_62,M ,64,69.04,4439.587512235488,Two year,Y
Customer_63,male,16,97.27,1597.5472407693392,Two year,No
Customer_64,f,51,36.84,1912.089736331762,Month-to-month,Yes
Customer_65,Male,37,96.75,3642.0553577322194,month to month,yes
Customer_66,FEMALE,69,94.94,,Month-to-month,No
Customer_67,Female,42,73.93,3186.8842092816603,One year,no
Customer_68,FEMALE,57,106.58,6043.577205083011,Month-to-month,N
Customer_69,Female,66,33.21,2209.2566179087635,Two year,no
Customer_70,f,9,79.55,706.2120660508417,month to month,Y
Customer_71,f,64,64.93,4154.325210619522,One year,no
Customer_72,f,22,62.23,1402.6744381608628,One year,Y
Customer_73,Female,34,45.26,1466.9189915340612,One year,Yes
Customer_74,FEMALE,55,57.23,3106.1137868473083,One year,N
Customer_75,f,29,30.82,931.2413367623466,month to month,no
Customer_76,M ,38,45.16,1715.972369190439,Two year,Y
Customer_77,Female,18,47.2,836.7691091342485,One year,no
Customer_78,Female,71,92.07,6480.922971916831,Two year,Y
Customer_79,FEMALE,65,24.86,1603.4194593834884,Month-to-month,N
Customer_80,Female,1,85.12,119.16734707834848,Two year,N
Customer_81,Female,4,42.14,140.38634404271673,One year,No
Customer_82,f,4,28.19,180.96316734292168,Month-to-month,Y
Customer_83,FEMALE,27,50.08,1406.0042465401311,Month-to-month,yes
Customer_84,f,43,42.45,1807.8473547740616,Month-to-month,Yes
Customer_85,f,59,75.2,4407.082563360502,One year,No
Customer_86,FEMALE,32,55.74,1645.4560832212883,Two year,Yes
Customer_87,Male,33,116.6,3793.9569479029315,month to month,No
Customer_88,f,28,116.35,3200.8831831720054,Two year,no
Customer_89,M ,55,64.37,3468.8016784532656,One year,Y
Customer_90,M ,60,99.51,5968.80117611617,One year,no
Customer_91,Female,70,21.33,1508.7040280163055,Month-to-month,Yes
Customer_92,M ,62,74.78,4727.092767113672,Two year,N
Customer_93,Female,34,94.33,3210.5445330700345,One year,Yes
Customer_94,Male,56,41.69,2232.96231060775,One year,No
Customer_95,FEMALE,13,26.12,302.1727984331675,month to month,Yes
Customer_96,FEMALE,56,35.59,2023.5682137771153,Two year,Y
Customer_97,FEMALE,18,64.18,1151.1693626544168,Month-to-month,Yes
Customer_98,M ,54,70.64,3857.4014004797205,Month-to-month,no
Customer_99,Male,43,58.09,2472.182551321772,Month-to-month,N
Customer_100,M ,39,64.0,2553.601865973247,Two year,Y
Customer_101,M ,61,67.02,4100.521503710887,One year,Yes
Customer_102,Male,42,96.94,4085.0538791965787,One year,yes
Customer_103,Male,18,30.52,556.857744378482,month to month,yes
Customer_104,Male,23,96.9,2190.4421939844437,month to month,N
Customer_105,Male,54,88.86,4795.580472257959,One year,no
Customer_106,FEMALE,30,94.17,2839.7880458776685,One year,No
Customer_107,male,58,93.45,,Two year,No
Customer_108,male,68,67.06,4564.059712638176,month to month,N
Customer_109,Male,67,41.14,2817.1238959249267,Month-to-month,Yes
Customer_110,male,71,73.66,5251.550906668505,Month-to-month,Y
Customer_111,male,18,115.8,2152.764507488465,Month-to-month,N
Customer_112,Male,7,78.85,572.3363661652918,Month-to-month,No
Customer_113,male,40,21.1,799.1184551216317,One year,yes
Customer_114,M ,70,25.97,1857.4379880418796,One year,No
Customer_115,Female,65,119.29,7696.798694084865,Two year,yes
Customer_116,Female,68,27.19,1838.4981405135923,Month-to-month,No
Customer_117,Male,49,24.6,,One year,no
Customer_118,FEMALE,52,55.3,2841.686080209703,One year,N
Customer_119,Male,29,116.93,3509.9183610927184,One year,Y
Customer_120,FEMALE,21,51.87,1085.6377345977453,Month-to-month,N
Customer_121,Female,9,60.99,639.4130855269666,One year,Yes
Customer_122,Male,47,83.41,3937.4495240256497,month to month,yes
Customer_123,f,42,22.41,900.1739094636634,Month-to-month,No
Customer_124,M ,51,109.78,5578.30061180482,Month-to-month,Yes
Customer_125,male,56,71.94,4026.7159336093323,month to month,yes
Customer_126,FEMALE,51,66.68,3383.5895837212706,Two year,N
Customer_127,f,70,106.07,7411.2023889304855,Two year,yes
Customer_128,male,20,115.31,2334.8871980260615,Month-to-month,no
Customer_129,male,27,62.34,1701.4485027217002,Month-to-month,No
Customer_130,Male,38,37.24,1449.6196861365365,Month-to-month,N
Customer_131,male,65,101.57,,month to month,Yes
Customer_132,M ,54,60.33,3234.245708360978,One year,No
Customer_133,f,24,113.55,2780.894629226401,month to month,N
Customer_134,male,47,114.99,5474.21009646472,One year,No
Customer_135,Male,71,31.48,2299.7750396768624,One year,Y
Customer_136,M ,63,115.66,7198.5834594796415,Two year,yes
Customer_137,Female,57,56.83,3329.1943265231434,month to month,yes
Customer_138,f,55,84.63,4622.8300509472265,month to month,Y
Customer_139,male,60,23.48,1316.7663848091775,Month-to-month,Y
Customer_140,Male,62,108.89,6839.835504539301,month to month,No
Customer_141,Female,30,84.16,2550.4702184086973,One year,yes
Customer_142,Female,22,84.36,1883.6552466252015,One year,Yes
Customer_143,FEMALE,29,110.22,3179.7763822044008,month to month,no
Customer_144,M ,41,70.83,2913.1348956248485,Two year,N
Customer_145,male,42,61.05,2557.134173957678,Two year,Y
Customer_146,Male,65,106.61,,Month-to-month,Yes
Customer_147,FEMALE,31,94.24,2922.5895423700363,Month-to-month,Yes
Customer_148,M ,30,114.9,3452.65691036489,One year,No
Customer_149,FEMALE,18,114.01,1986.0982995701647,month to month,Y
Customer_150,f,17,58.23,992.6916062743056,One year,Yes
Customer_151,M ,38,64.7,2369.223756406639,One year,no
Customer_152,M ,14,45.6,734.4175701058548,month to month,Yes
Customer_153,male,56,86.06,4814.230931987957,One year,no
Customer_154,M ,22,56.45,1188.325230733411,One year,no
Customer_155,FEMALE,67,98.61,6632.53091003448,Two year,no
Customer_156,M ,56,32.16,1763.6250306929003,Month-to-month,Y
Customer_157,male,19,31.64,599.6971331928647,Two year,no
Customer_158,male,57,40.45,2328.425057554593,Month-to-month,Y
Customer_159,f,44,28.43,1200.085460839869,Month-to-month,Yes
Customer_160,FEMALE,35,82.0,2967.4854662718567,Month-to-month,no
Customer_161,Female,1,34.74,136.98572343910897,Two year,yes
Customer_162,Female,52,36.0,1845.727333688076,month to month,Yes
Customer_163,M ,70,21.42,1443.2336909597627,One year,N
Customer_164,f,37,98.21,3607.269591895128,month to month,yes
Customer_165,Male,65,101.23,6556.1222958152,month to month,yes
Customer_166,M ,51,36.2,1901.7175246980914,Month-to-month,No
Customer_167,f,1,93.95,68.31434150223934,Month-to-month,Y
Customer_168,FEMALE,21,63.35,1272.2669401365138,Two year,No
Customer_169,FEMALE,53,43.96,2334.958675278613,Two year,Y
Customer_170,FEMALE,16,82.14,1239.697320382594,One year,No
Customer_171,FEMALE,61,37.85,2362.2497533276687,month to month,Yes
Customer_172,FEMALE,54,95.69,5197.259634098286,month to month,yes
Customer_173,f,40,24.76,960.4055199083011,One year,Yes
Customer_174,f,26,115.91,2989.123943726217,Month-to-month,Y
Customer_175,male,65,27.19,1779.7867537036104,Two year,yes
Customer_176,Female,64,77.94,,One year,yes
Customer_177,FEMALE,43,110.22,4700.065214716108,month to month,Y
Customer_178,Male,17,21.19,348.9593451565654,One year,Yes
Customer_179,f,59,69.85,4055.2108681164727,One year,yes
Customer_180,Male,23,55.0,1242.2830700142176,month to month,N
Customer_181,Male,7,78.03,492.55705404433627,month to month,Yes
Customer_182,Male,44,42.55,1943.5099580159665,Two year,Yes
Customer_183,male,53,26.49,1383.7982146982083,Two year,Yes
Customer_184,f,71,82.59,5816.548797299269,month to month,yes
Customer_185,Male,34,61.68,2130.8424795708092,Two year,no
Customer_186,FEMALE,46,82.25,3752.0757070250875,Two year,No
Customer_187,M ,68,41.05,2736.2757148115265,Two year,Y
Customer_188,Male,16,53.87,906.2964959528972,month to month,Yes
Customer_189,male,71,76.17,5391.912923093368,Month-to-month,yes
Customer_190,f,19,79.31,1548.9410652112917,Month-to-month,Y
Customer_191,male,2,57.23,113.70730644991997,Two year,no
Customer_192,Male,10,48.01,486.5599392723228,Month-to-month,N
Customer_193,f,50,47.37,2396.6589394839816,Two year,no
Customer_194,M ,12,37.47,417.89863198115665,Month-to-month,yes
Customer_195,Male,70,52.54,3637.289271659445,Month-to-month,Yes
Customer_196,male,22,39.94,938.7718403030606,One year,no
Customer_197,Female,32,83.38,2697.1059653293214,Two year,no
Customer_198,FEMALE,1,76.91,73.53510088750892,Month-to-month,no
Customer_199,male,54,58.26,3185.825045621178,Month-to-month,N
Customer_200,f,58,52.58,3076.647985443507,One year,yes
Customer_201,Male,70,43.76,3110.3651433509426,Month-to-month,Y
Customer_202,FEMALE,18,73.55,1266.7582728559792,One year,No
Customer_203,Male,6,111.89,668.1310479815502,Month-to-month,yes
Customer_204,f,45,88.57,4042.1401499995795,One year,Yes
Customer_205,Male,23,94.44,2255.981353801849,One year,yes
Customer_206,Female,23,103.44,2352.323087659334,month to month,yes
Customer_207,FEMALE,26,55.16,1442.118269240553,Two year,N
Customer_208,FEMALE,7,26.29,184.99679092923142,month to month,No
Customer_209,f,44,82.26,3557.2309392144903,Two year,No
Customer_210,Female,27,38.87,1035.1120096787993,Month-to-month,No
Customer_211,male,26,76.9,1920.4653660636764,Two year,Y
Customer_212,Male,36,93.95,3373.8339195339427,month to month,yes
Customer_213,M ,55,98.36,5357.899056160769,Two year,N
Customer_214,Male,64,50.18,3220.0157390741083,month to month,Yes
Customer_215,Male,57,71.24,4045.1851389848384,Two year,No
Customer_216,male,69,82.1,5648.6092460109185,Month-to-month,No
Customer_217,Male,61,101.95,6296.6210743201445,Month-to-month,yes
Customer_218,Female,2,96.14,195.82045844268262,Two year,Yes
Customer_219,Female,55,118.8,6627.911119271044,Two year,N
Customer_220,FEMALE,38,20.81,813.0985766607838,Month-to-month,No
Customer_221,f,29,63.75,1889.5276429963042,Two year,yes
Customer_222,M ,26,45.6,,One year,no
Customer_223,Male,35,31.99,1084.9660678534433,Month-to-month,N
Customer_224,Male,67,111.15,7447.913193962955,Month-to-month,Y
Customer_225,male,29,119.8,,month to month,N
Customer_226,f,34,38.06,1275.8922989423033,month to month,yes
Customer_227,Female,41,23.84,905.8673854385477,One year,No
Customer_228,M ,41,47.51,1967.8095179273548,Two year,N
Customer_229,FEMALE,23,103.49,2383.4689155140045,One year,Yes
Customer_230,Female,71,49.39,3479.139496133141,Two year,no
Customer_231,f,3,25.69,58.41681065181035,month to month,Yes
Customer_232,FEMALE,58,25.25,1420.9463164552378,Two year,Yes
Customer_233,male,32,62.74,2053.8753375631386,month to month,Yes
Customer_234,male,31,113.18,3509.7462048495668,Month-to-month,yes
Customer_235,Male,43,48.59,2101.393869494579,Month-to-month,yes
Customer_236,f,7,62.72,409.21867538962755,Two year,N
Customer_237,M ,1,30.19,97.00136248123033,month to month,Y
Customer_238,FEMALE,61,69.36,,One year,no
Customer_239,Female,14,89.65,1148.0432142015047,month to month,N
Customer_240,f,52,47.12,2473.239079740355,month to month,Yes
Customer_241,f,6,49.67,284.8039654165345,month to month,N
Customer_242,male,10,104.2,1033.8027455951428,Month-to-month,No
Customer_243,Male,71,21.04,1543.5245476046478,month to month,N
Customer_244,Male,30,83.65,2513.928580890725,Two year,N
Customer_245,FEMALE,21,59.39,1332.8071162488839,Month-to-month,Yes
Customer_246,male,60,49.84,2995.6796569075523,Month-to-month,N
Customer_247,f,63,85.76,5379.549149452039,Month-to-month,no
Customer_248,M ,42,103.47,4255.075602618781,month to month,Yes
Customer_249,male,51,75.84,3831.9465026024072,One year,yes
Customer_250,FEMALE,64,23.11,1462.927743951542,month to month,yes
Customer_251,FEMALE,56,66.14,3777.154408616962,month to month,N
Customer_252,male,41,66.28,2694.4522834643544,One year,N
Customer_253,FEMALE,32,74.38,2462.2605996820375,month to month,no
Customer_254,male,15,87.1,1249.0844974315455,Two year,Y
Customer_255,Female,62,21.93,1321.0365986690265,One year,Yes
Customer_256,male,27,70.2,1951.74884936749,Two year,no
Customer_257,male,28,78.83,2177.4838989496398,Two year,N
Customer_258,FEMALE,64,54.34,3532.7214322846885,Month-to-month,N
Customer_259,FEMALE,59,86.84,5082.244924145529,Month-to-month,N
Customer_260,Male,58,42.82,2447.255492092041,One year,N
Customer_261,Male,2,51.74,135.57244669784836,month to month,No
Customer_262,Female,36,116.28,4145.464932565873,Two year,N
Customer_263,Male,71,54.81,3877.7897827207444,month to month,N
Customer_264,male,13,54.65,730.188931284474,Two year,No
Customer_265,FEMALE,15,79.57,1180.9197135421323,Month-to-month,Y
Customer_266,Male,60,117.1,6997.871079867511,Month-to-month,yes
Customer_267,Male,22,118.31,2542.4586047010334,Month-to-month,N
Customer_268,Female,63,77.97,,One year,N
Customer_269,f,25,20.11,584.5556120907638,Two year,no
Customer_270,Female,48,110.07,5299.826783143604,month to month,Yes
Customer_271,male,43,77.02,3300.25414255268,Two year,no
Customer_272,FEMALE,38,56.6,2141.9414120486103,month to month,N
Customer_273,Female,41,102.92,4261.32964540681,month to month,Y
Customer_274,Male,45,59.98,2750.689101282197,month to month,no
Customer_275,FEMALE,40,23.4,908.9923572573825,Two year,Y
Customer_276,FEMALE,17,102.11,1789.6004086866617,Month-to-month,Y
Customer_277,Male,57,74.59,4282.384449207469,One year,N
Customer_278,Female,2,53.81,160.48118708843083,One year,Y
Customer_279,Male,62,45.09,2715.491152746282,Month-to-month,no
Customer_280,f,9,79.38,693.4598264925512,One year,No
Customer_281,FEMALE,68,40.8,2765.754929155096,month to month,Yes
Customer_282,M ,17,52.39,867.1823151794092,One year,Y
Customer_283,M ,50,83.65,4278.366149706871,Two year,N
Customer_284,male,40,108.15,4305.506618144157,Month-to-month,yes
Customer_285,Male,58,73.29,4274.239621011747,Month-to-month,Y
Customer_286,Male,21,95.91,2021.7519957862125,Month-to-month,no
Customer_287,male,18,96.31,1719.068640118738,Month-to-month,Y
Customer_288,male,55,86.44,4718.7679886197,Two year,yes
Customer_289,male,29,44.58,1395.6124266100614,month to month,No
Customer_290,FEMALE,24,106.68,2549.226383585891,month to month,no
Customer_291,f,17,63.63,1125.4892291210826,month to month,no
Customer_292,Male,18,24.42,439.07758335246064,One year,N
Customer_293,FEMALE,42,44.46,1844.3839169208425,month to month,no
Customer_294,male,45,96.55,4350.164578872755,One year,yes
Customer_295,Male,17,26.91,472.87568583214954,Two year,no
Customer_296,FEMALE,14,34.74,462.8807140948309,One year,No
Customer_297,f,49,89.42,4343.34896909175,month to month,Yes
Customer_298,FEMALE,29,109.26,3192.348700450221,Month-to-month,Yes
Customer_299,f,4,83.37,339.29836324848804,Two year,Y
Customer_300,male,20,42.23,811.9971093173091,month to month,Yes
Customer_301,f,47,25.34,1144.0582327621296,month to month,yes
Customer_302,Male,9,81.51,751.053941735794,month to month,Yes
Customer_303,male,27,24.74,572.075966758767,Two year,yes
Customer_304,Male,15,81.27,1206.020008568637,Month-to-month,yes
Customer_305,M ,19,42.56,815.3944161775338,Month-to-month,Y
Customer_306,Female,52,110.47,5831.323619145366,Month-to-month,Yes
Customer_307,f,26,67.51,1755.7840579921624,month to month,Y
Customer_308,Female,26,42.39,1087.0804321260691,One year,no
Customer_309,Female,26,105.31,2752.288042566277,month to month,No
Customer_310,f,46,45.4,2052.5729622154636,Month-to-month,Yes
Customer_311,male,49,50.66,2471.393188170086,Two year,no
Customer_312,M ,53,103.43,,One year,N
Customer_313,Male,3,50.88,184.11561789334615,One year,no
Customer_314,FEMALE,66,61.02,3993.6699904857733,month to month,Y
Customer_315,Male,42,54.77,2300.05380845485,Two year,Y
Customer_316,FEMALE,19,31.64,511.6092239320565,One year,No
Customer_317,Male,17,23.89,431.96402595863236,Month-to-month,No
Customer_318,f,33,92.45,3039.327999439657,month to month,No
Customer_319,M ,49,84.51,4235.205842198826,month to month,No
Customer_320,FEMALE,56,48.24,2719.0067675532905,Month-to-month,Y
Customer_321,male,63,49.56,3078.9304212980187,Month-to-month,yes
Customer_322,Male,3,114.5,288.81570688944055,Month-to-month,Y
Customer_323,Male,49,118.77,5852.814996561862,One year,yes
Customer_324,FEMALE,55,67.34,3793.5215666895215,Two year,Y
Customer_325,male,26,100.25,2681.008187857987,One year,N
Customer_326,male,52,93.67,4810.205437623436,Two year,Y
Customer_327,f,7,49.73,358.27467514947506,month to month,No
Customer_328,f,46,25.86,1245.9110129510523,Two year,yes
Customer_329,f,46,34.26,1508.902014389626,Month-to-month,no
Customer_330,f,16,103.83,1713.148361988206,One year,N
Customer_331,f,24,93.12,2199.740602705854,Month-to-month,no
Customer_332,f,61,86.43,5261.456353211866,month to month,N
Customer_333,M ,54,33.06,1799.0716202183223,One year,no
Customer_334,male,62,83.99,5260.795776834293,One year,No
Customer_335,f,1,97.22,173.81534147578782,Month-to-month,no
Customer_336,male,49,106.06,5180.793336271769,One year,Y
Customer_337,male,25,21.32,509.0180127100368,Month-to-month,No
Customer_338,Female,10,88.45,857.1885815641242,Two year,no
Customer_339,M ,16,21.91,389.53921230815183,month to month,No
Customer_340,f,58,90.69,5309.79778983176,Month-to-month,Y
Customer_341,Male,29,83.56,2467.9606917967335,month to month,No
Customer_342,FEMALE,6,34.83,222.46946599469413,One year,no
Customer_343,Male,16,96.61,1564.1823514448122,month to month,No
Customer_344,M ,20,26.83,525.0815591360106,month to month,N
Customer_345,FEMALE,71,102.64,7280.584762895478,month to month,Yes
Customer_346,M ,43,46.19,2028.8686770239008,One year,no
Customer_347,male,26,88.89,2324.3545972657566,Two year,Y
Customer_348,FEMALE,71,112.37,7954.611696773655,Two year,yes
Customer_349,male,33,53.98,1836.3063305730423,Two year,No
Customer_350,Male,26,70.29,1797.1482217739083,Month-to-month,N
Customer_351,Male,45,66.31,2991.234889103361,Month-to-month,No
Customer_352,FEMALE,63,35.76,2190.8789385192345,One year,no
Customer_353,FEMALE,67,79.03,5247.719953420048,Two year,N
Customer_354,f,52,94.3,4904.5552687645995,month to month,no
Customer_355,M ,68,111.69,7560.10783897795,Two year,Yes
Customer_356,f,26,105.08,2720.622467048518,Month-to-month,Y
Customer_357,M ,2,71.0,202.6634990493452,One year,N
Customer_358,f,14,91.9,1280.362182080545,Two year,N
Customer_359,male,30,100.08,3047.392461707858,Month-to-month,No
Customer_360,FEMALE,49,69.35,3359.1143743238613,Month-to-month,No
Customer_361,Male,12,31.54,405.9252166989714,month to month,yes
Customer_362,M ,44,63.79,2756.7504636047515,Two year,N
Customer_363,M ,33,104.25,3427.7609507408692,month to month,No
Customer_364,Male,13,79.66,1065.0547004683833,Two year,No
Customer_365,f,26,92.45,2404.3378614527696,One year,Yes
Customer_366,M ,21,38.53,856.2450361351205,Two year,yes
Customer_367,male,28,116.43,3293.415711769859,month to month,No
Customer_368,FEMALE,48,60.41,2884.2597425330623,month to month,No
Customer_369,Male,40,85.36,3479.2474186405484,Month-to-month,Y
Customer_370,FEMALE,66,21.89,1466.5552535398397,Two year,N
Customer_371,M ,23,32.73,740.6055388529111,Two year,No
Customer_372,M ,48,98.2,4720.888309014687,One year,Yes
Customer_373,Male,2,116.8,238.14591254281603,Month-to-month,No
Customer_374,male,20,52.01,1050.2796163206601,month to month,N
Customer_375,Female,59,23.72,1392.3920337527798,Two year,No
Customer_376,Male,46,56.09,2598.7663858152664,Month-to-month,no
Customer_377,Female,3,21.75,104.74098517561185,One year,No
Customer_378,f,55,39.24,2179.4781960754326,Month-to-month,yes
Customer_379,Female,12,95.25,1162.5764233097045,Two year,N
Customer_380,male,40,113.71,4543.366047031146,Two year,N
Customer_381,f,66,28.74,1852.5358855885415,One year,no
Customer_382,Female,16,75.79,1156.1727782600633,One year,yes
Customer_383,f,34,45.39,1507.881183167939,One year,yes
Customer_384,Female,44,33.91,1471.1398016996131,month to month,N
Customer_385,male,6,41.9,334.98956948573084,Month-to-month,Yes
Customer_386,Female,64,77.78,5040.503077273667,Month-to-month,No
Customer_387,Female,22,26.51,553.5541882711528,Month-to-month,yes
Customer_388,Female,18,63.42,1164.0451141447882,month to month,No
Customer_389,Male,12,33.52,398.8588895964729,Month-to-month,No
Customer_390,Male,52,47.27,2469.839538230754,One year,Yes
Customer_391,Male,51,39.08,1965.6489679965334,Month-to-month,Yes
Customer_392,male,71,108.3,7801.387991523177,month to month,yes
Customer_393,f,48,90.8,4451.6249861693705,month to month,yes
Customer_394,M ,19,106.85,2015.5191242310111,Month-to-month,N
Customer_395,Female,6,58.35,320.2835492138785,month to month,no
Customer_396,Female,27,51.34,1432.4536316710798,month to month,No
Customer_397,male,53,58.06,3016.6965407292796,Month-to-month,N
Customer_398,Female,48,21.85,1091.097396238469,month to month,No
Customer_399,Male,7,92.47,653.5632989229268,month to month,Yes
Customer_400,M ,59,54.98,3172.115133700176,Month-to-month,Yes
Customer_401,FEMALE,69,51.33,3534.1814743527375,One year,N
Customer_402,Female,11,79.81,845.1223001669317,One year,yes
Customer_403,Male,15,63.62,962.3890122343828,month to month,no
Customer_404,FEMALE,64,118.08,7559.995314605951,Two year,no
Customer_405,M ,3,55.63,99.52425292258192,Two year,Yes
Customer_406,FEMALE,69,81.39,5599.202825193122,Month-to-month,Yes
Customer_407,Male,23,51.17,1205.6460157924862,Month-to-month,no
Customer_408,f,53,119.06,6347.525408597609,One year,no
Customer_409,f,37,64.51,2368.717097602025,Two year,yes
Customer_410,FEMALE,9,83.41,773.5785321441301,Month-to-month,no
Customer_411,male,15,32.67,503.3690100472306,Two year,No
Customer_412,FEMALE,3,93.3,277.2678138121989,Two year,no
Customer_413,Female,70,46.92,3307.5939603022694,month to month,Y
Customer_414,Female,17,64.86,1056.3597785602158,month to month,no
Customer_415,f,26,108.31,2816.108520041266,Two year,Yes
Customer_416,male,21,117.06,2378.0630381754636,One year,Yes
Customer_417,Male,21,62.46,1308.9537347074868,Month-to-month,Y
Customer_418,Female,11,103.48,1209.5313202342597,Month-to-month,No
Customer_419,f,38,25.33,946.5637224554034,One year,no
Customer_420,M ,35,104.76,3732.852006412511,month to month,no
Customer_421,f,14,82.95,1146.1205965589543,month to month,Y
Customer_422,Female,14,68.87,909.9439449791886,One year,yes
Customer_423,Female,10,109.0,1123.2697249007874,One year,yes
Customer_424,f,12,104.53,1277.5567020993794,month to month,No
Customer_425,Male,38,49.69,2004.1703967118247,Two year,no
Customer_426,FEMALE,34,99.15,3322.135214173346,month to month,no
Customer_427,Female,41,29.95,,Two year,no
Customer_428,f,10,102.28,1042.4021625616347,Month-to-month,Yes
Customer_429,f,17,87.55,1541.25923509294,Month-to-month,N
Customer_430,male,17,28.79,515.9199466614899,Two year,yes
Customer_431,FEMALE,67,88.31,5902.366122788571,Two year,N
Customer_432,M ,62,78.05,4785.546389656426,month to month,Y
Customer_433,Male,1,79.46,96.79114462377981,One year,N
Customer_434,M ,12,49.09,607.8010325758512,Two year,Yes
Customer_435,FEMALE,4,46.65,218.17080111482528,Month-to-month,Yes
Customer_436,FEMALE,42,96.25,4028.0283076739447,month to month,yes
Customer_437,FEMALE,13,45.68,607.7475780180415,Month-to-month,no
Customer_438,M ,4,64.63,181.31243540435787,month to month,No
Customer_439,FEMALE,69,89.48,6122.657687634812,One year,N
Customer_440,f,19,27.96,578.0164756955702,One year,Y
Customer_441,M ,2,79.45,167.89177640360944,Month-to-month,yes
Customer_442,FEMALE,12,78.94,971.0710048984457,Two year,No
Customer_443,f,6,88.42,500.60241294520864,Two year,yes
Customer_444,male,8,56.99,419.6473616655454,Month-to-month,yes
Customer_445,FEMALE,51,64.9,3288.7224368900947,Two year,yes
Customer_446,M ,11,53.0,594.884221401855,Two year,yes
Customer_447,Female,63,100.82,6385.955872782136,Month-to-month,no
Customer_448,FEMALE,57,33.06,1871.964497255895,Month-to-month,Yes
Customer_449,Female,12,116.3,1312.6208784926084,One year,N
Customer_450,f,2,83.48,187.01188029254865,Month-to-month,yes
Customer_451,male,8,108.69,882.8726077560643,One year,No
Customer_452,Male,11,62.62,712.7786489111544,One year,N
Customer_453,male,53,53.23,2864.014906112488,month to month,No
Customer_454,FEMALE,10,110.07,1139.5779245299645,Two year,No
